Data,PIB - IGP-DI- 2021.11=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
1986.11,,2.24432341107805E-10,
1986.12,,2.46371055461468E-10,
1987.01,,2.78565277840403E-10,
1987.02,,3.19101580200252E-10,
1987.03,,3.74975577776927E-10,
1987.04,,4.64114425909345E-10,
1987.05,,5.88152107288658E-10,
1987.06,,6.8997232534182E-10,
1987.07,,7.37493269166957E-10,
1987.08,,7.83534682025476E-10,
1987.09,,8.5852744877969E-10,
1987.10,,9.68368960733198E-10,
1987.11,,1.11531594781112E-09,
1987.12,,1.31054019849021E-09,
1988.01,,1.55156813808278E-09,
1988.02,,1.82935997186694E-09,
1988.03,,2.18137591832071E-09,
1988.04,,2.6159180461794E-09,
1988.05,,3.14350166039985E-09,
1988.06,,3.80941549603421E-09,
1988.07,,4.65566902396022E-09,
1988.08,,5.78784570158767E-09,
1988.09,,7.33133873185369E-09,
1988.10,,9.3677295694903E-09,
1988.11,,1.20306687534636E-08,
1988.12,,1.59605815726036E-08,
1989.01,,1.9721258342442E-08,
1989.02,,2.12890160124035E-08,
1989.03,,2.22890937196115E-08,
1989.04,,2.42723411926535E-08,
1989.05,,2.90191697507371E-08,
1989.06,,3.83652170018049E-08,
1989.07,,5.26292785860482E-08,
1989.08,,7.24674866171526E-08,
1989.09,,1.00952798871878E-07,
1989.10,,1.43320576317119E-07,
1989.11,,2.10407206510288E-07,
1989.12,,3.37175609783814E-07,
1990.01,345283.644486426,5.79233923163316E-07,
1990.02,391402.318463976,1.02196635311146E-06,
1990.03,550965.679149297,1.45199606849417E-06,
1990.04,437475.688571541,1.60008891530787E-06,
1990.05,458479.743990898,1.74489715300461E-06,
1990.06,413110.463160816,1.93652805082445E-06,
1990.07,411446.390673178,2.18740526202572E-06,
1990.08,407024.069076378,2.4568571639245E-06,
1990.09,396469.467790868,2.77448855300059E-06,
1990.10,435774.281972863,3.21267238089829E-06,
1990.11,452446.87541354,3.75734719893067E-06,
1990.12,405358.105085733,4.44051809354916E-06,
1991.01,392402.430818019,5.35164880508576E-06,
1991.02,393491.15597504,6.09924762871224E-06,
1991.03,379551.255012465,6.58672568456636E-06,
1991.04,437281.890160884,7.08924853681787E-06,
1991.05,469403.742489959,7.6693040002275E-06,
1991.06,480170.851709229,8.53862741856473E-06,
1991.07,471938.502429411,9.74703266701159E-06,
1991.08,469404.179215548,1.12909092732348E-05,
1991.09,410154.993159449,1.36533751713294E-05,
1991.10,436639.863282012,1.71766268513051E-05,
1991.11,432165.15370311,2.12881578284774E-05,
1991.12,396272.64528668,2.64969084414188E-05,
1992.01,392968.787233055,3.33359809369055E-05,
1992.02,398410.535554029,4.09125726992466E-05,
1992.03,400509.848454003,4.89376230713363E-05,
1992.04,400273.906495856,5.89596264383133E-05,
1992.05,418684.838504173,7.18917840625365E-05,
1992.06,429120.767161646,8.73879869483783E-05,
1992.07,426806.162331706,0.000108011561379875,
1992.08,415133.818710815,0.00013658246436313,
1992.09,410916.881333843,0.0001722976183655,
1992.10,414633.297012341,0.000214647498503602,
1992.11,414918.338807499,0.000266076453302345,
1992.12,380329.242648293,0.000335761718217628,
1993.01,382745.763136803,0.000428482861981106,
1993.02,379736.380697877,0.000544851666884696,
1993.03,422387.505680678,0.000697463812347507,
1993.04,405277.545331709,0.000908266456506293,
1993.05,403247.367518941,0.00119430413882957,
1993.06,391117.644175102,0.00156858175318048,
1993.07,404096.221346859,0.00208217735170995,
1993.08,408185.384181985,0.00281612239081914,
1993.09,411935.380674498,0.00383166893170367,
1993.10,397343.550502698,0.0052128693101461,
1993.11,392234.413439911,0.00712023194371712,
1993.12,356720.492003201,0.00990943912459136,
1994.01,323577.031766072,0.0141011244682492,
1994.02,286055.492927656,0.0202513153679068,
1994.03,292907.81540549,0.0290890155600823,
1994.04,311227.481106077,0.0412200103744293,
1994.05,346070.671153444,0.0592485920048067,
1994.06,413533.626817618,0.0801061820653581,
1994.07,448522.693313665,0.0909385424818979,
1994.08,470960.153573311,0.0931573502919936,
1994.09,461105.954409933,0.0950675209911271,
1994.10,464147.892179853,0.0974579455430811,
1994.11,464202.905232957,0.0989356151852438,
1994.12,442596.750710523,0.0998882163708321,
1995.01,464969.989437968,0.101143301865236,
1995.02,486681.836239695,0.102643033456866,
1995.03,572996.683523121,0.104755056575433,
1995.04,544337.001706575,0.106164930583116,
1995.05,522912.43220055,0.107762784990333,
1995.06,513907.354278316,0.110382152595697,
1995.07,523363.498162157,0.112327474511387,
1995.08,542087.501178303,0.112436276186992,
1995.09,541392.835899458,0.1119534577869,
1995.10,562198.995379107,0.112821439599387,
1995.11,595857.846034038,0.113723265458401,
1995.12,579460.015197789,0.114896107158101,
1996.01,551147.616187649,0.116363199470257,
1996.02,531949.623398518,0.11693250124439,
1996.03,536220.680311813,0.117466189411741,
1996.04,538598.584940078,0.118862362044866,
1996.05,576244.959553283,0.120588820514576,
1996.06,582884.626448247,0.12198468920558,
