date,ipca,ipa,igp,capacidade,desemprego,comm,cambio,pimpf,ipcaindice,petro,gfc_dummy,pib,pib_hiato_real,pib_hiato_nom,pib_dessaz,pib_ipca,taxa_juros
2007-10-01,0.00293394801100164,0.00978703992627139,0.007034542088219631,83.3,0.0964295197426082,139.388357597074,1.8002,99.5892428008695,2701.29,81.9585507246377,0,135121,0.003835880803389813,0.09357197006233875,126444.920374189,525523.640315628,0.03329899781719001
2007-11-01,0.00347886836277376,0.021268268087478504,0.01575165452100613,83.7,0.0941250235524566,147.671281093446,1.7691,99.3501912257703,2711.55,91.3880303030303,0,135997,-0.005045100962487226,0.11045642466455696,130611.279222004,523812.137680376,0.03437764846185648
2007-12-01,0.00626178650631683,0.011604945708682202,0.010182731966297709,83.9,0.0939819325303385,147.638237047466,1.7852,100.84328941646,2731.62,89.7460317460317,0,131363,2.8536486398067495e-4,0.12337832204054244,134362.185757515,529579.825442776,0.03543288477571731
2008-01-01,0.00379932496792231,0.008977124203359388,0.00792344167042991,84.6,0.0908563775015443,154.447467911667,1.7735,101.98308785656,2746.37,90.7549275362319,0,129544,0.012948955456401734,0.13547953311507754,138086.85596651,539351.465586763,0.03645094453213872
2008-02-01,0.00384697879514219,0.008279289423707148,0.006101881416621602,84.6,0.0933606269975654,161.368559418187,1.7269,100.322717275742,2759.83,93.2106349206349,0,132414,-0.00892113670884953,0.12604018022159735,138869.09398426,530656.548512902,0.0374757773894855
2008-03-01,0.00462588824400796,0.003468505942211486,0.004440945888745773,83.7,0.0899556731176787,171.380328644189,1.7068,101.06963300479,2773.08,101.705555555556,0,142640,0.00700384941811194,0.14557065301091932,143737.846735457,542210.143711687,0.03847939634085071
2008-04-01,0.00496932970330378,0.018905123819646263,0.015047526891620144,84,0.0876204318110131,177.834108555155,1.6881,100.837921855038,2788.33,108.758636363636,0,147551,0.017680326531419155,0.1541789748093354,147137.125453683,551111.928268653,0.04139445424756631
2008-05-01,0.00788307526525475,0.021903771748145395,0.019372725815393288,83.4,0.08342298206423,189.889058672767,1.6597,99.2138059940561,2810.36,122.699545454545,0,151453,0.014723898530601076,0.1659482441772422,151068.436134774,552570.855677919,0.044878476153245236
2008-06-01,0.00883689240482489,0.0250385121454908,0.019815746580562177,83.7,0.0857561584445398,199.570090200076,1.6181,104.314111573305,2831.16,131.521111111111,0,158166,0.039982251626661025,0.20273779076590515,159007.565674985,569882.886199354,0.05044411411397512
2008-07-01,0.00622382238730379,0.002469070963277531,0.003834000181229591,83.8,0.0892930799584365,202.79824199016,1.5906,102.47008065807,2846.16,133.00652173913,0,167383,0.04151012986094926,0.20226373510766038,161214.51152858,573947.926984974,0.05413447849478538
2008-08-01,0.00420508876096153,-0.007483756866855984,-0.004226200721780593,83,0.0843703051145961,181.099920941178,1.6115,101.343846594066,2854.13,114.567301587302,1,163441,0.02773829236466696,0.18761220413919055,161123.408391307,569258.370754391,0.06058140998821526
2008-09-01,0.0036535392816196,0.009746174686990017,0.007769282188226256,83.4,0.0870959710043851,165.917674832465,1.7988,102.476117826371,2861.55,99.8315151515151,1,148641,0.022172651853731296,0.08173992711446587,146967.736000449,569251.766922716,0.06618427904198691
